PRODUCT NAME,COMMENT,Website name,Label,sentiment
BLUSH,repurchased blush . cant beat colour winter kissed price affordable . high quality colour last day,influenster,Positive,1
BLUSH,"pigmented hot pink ! packaging delicate , randomly broke bag tweak look weird colour beautiful ! sure make sense blush feel powdery . hard work beginner ! took time managed work .",influenster,Positive,1
BLUSH,highly recommend getting blush like light color blend skin tone also super luscious make look flawless .,influenster,Positive,1
BLUSH,"work nicely ! complaint much build maybe 's shade skin , product tried kylie make want ! recommend",influenster,Positive,1
BLUSH,"love blush , 's super pigmented long lasting . 's blend like dream texture creamy matte finish . 's fragrance packaging super cute 'm baby pink .",influenster,Positive,1
BLUSH,love blush kylie ! go flawless little bit go long way . theres scent love . packaging great . simple yet flawless .,influenster,Positive,1
BLUSH,wanted try blush happy colour natural looked . loved easy blend didnt clog pore .,influenster,Positive,1
BLUSH,"kylie cosmetic blush winter kissed awesome . give nice , rosy glow look like youve come cold . formula super smooth blend easily .",influenster,Positive,1
BLUSH,really love kylie blush ! use shade winter kissed . pink packaging cute . its easy apply stay . definitely want try shade & cream blush !,influenster,Positive,1
BLUSH,love product ! ! its super pigmented . packaging cute pink . great go traveling . last hour doesnt break easily,influenster,Positive,1
BLUSH,"kylie cosmetic blush well-regarded product known highly pigmented formula smooth texture.available variety shade , blush provides matte-velvet finish suitable different skin tone .",influenster,Positive,0
BLUSH,"product really nice cool toned pink blush ! its powdery sits skin nicely . scent , packaging bad writing front came almost instantly",influenster,Positive,1
BLUSH,"kylie cosmetic blush impress strong pigmentation seamless blendability . texture silky smooth , minimalist packaging chic . 's faint , pleasant scent . highly recommend !",influenster,Positive,1
BLUSH,product really nice cool toned pink blush ! its powdery sits skin nicely .,influenster,Positive,1
BLUSH,"kylie cosmetic blush impress strong pigmentation seamless blendability . texture silky smooth , minimalist packaging chic . 's faint , pleasant scent . highly recommend !",influenster,Positive,1
BLUSH,brand never disappointed ever . pigmentation particular shade make go everyday ! love packaging ! ! blend second 's perfect texture .,influenster,Positive,1
BLUSH,pigmentated face leave color looking . take blending due highly pigmentation . packaging beautiful worth money .,influenster,Positive,1
BLUSH,love using blush . texture good blend well . colour lovely skin . isnt flaky doesnt go everywhere . use bigger brush apply .,influenster,Positive,1
BLUSH,love kylie blush theyre beautiful easy blend pigment really scent texture soft . love . worth every penny,influenster,Positive,1
BLUSH,"shade pink power ' really like its heavy pink . its natural shade . im fair complected show nicely , even though its pretty light . ordered directly kylie cosmetic website , sight unseen .",influenster,Positive,1
BLUSH,pigmentation blush refine blend right skin texture soft finish well perfect packaging travel size .. would recommend,influenster,Positive,1
BLUSH,'m obsessed kylie cosmetic blush shade 336 ! color cute - gorgeous soft pink give cheek natural-looking flush .,influenster,Positive,1
BLUSH,blush favorite since released . perfect blush topper & transition blush ! help blend blush concealer beautifully !,influenster,Positive,1
BLUSH,shade winter kissed love . pigmented point much . build however want . packaging cute .,influenster,Positive,1
BLUSH,one favorite blush ! use shade winter kissed always look perfect matter look . little go long way overall product exactly everyone want blush !,influenster,Positive,1
BLUSH,"dont think pigmented would liked . pigmentation its great ; however , think keep reapplying last whole day .",influenster,Positive,1
BLUSH,"best blush ever ! last day its perfect shade looking ? youre looking super light blush blend perfectly bronzer , !",influenster,Positive,1
BLUSH,blush great amount pigment . blend prefectly skin without leaving looking dry . beautiful finsh amazing packaging .,influenster,Positive,1
BLUSH,love blush good pigmentation blend nicely good texture finish matte packaging cute cause pink would recommend,influenster,Positive,1
BLUSH,"beautiful blush , its pigmented , last long time packaging nice make skin look glowy look cute using one long time",influenster,Positive,1
BLUSH,pretty natural blush . its pigmented its easy blend always build . wish staying power packaging feel cheap .,influenster,Positive,1
BLUSH,"love packaging , cute ! color blush great well . price pretty reasonable well . thought color would pink looking , great fair skin !",influenster,Positive,1
BLUSH,love power blush . packaging cute pigmentation right . blend easily . end looking flawless smooth .,influenster,Positive,1
BLUSH,"oh gosh , wow pigmentation undefeatable . blend ability told friend good texture finishing packaging everything product amazing wow wow wow wow wow",influenster,Positive,1
BLUSH,"pigmentation notable , blend perfectly , texture heavy , finish good , easy wear daily , packaging funny",influenster,Positive,1
BLUSH,"became one favorite blush , go really well cool undertone , good pigmentation",influenster,Positive,1
BLUSH,"kylie cosmetic ' blush highly recommended product want long-lasting natural-looking blush . blush formula highly pigmented , delivering natural-looking flush colour cheek .",influenster,Positive,1
BLUSH,"good pigmentation its easy blend . shade winterkissed cool toned pink , leaning towards purple hue rather orange looking blush .",influenster,Positive,1
BLUSH,"kylie cosmetic blush pretty solid rep ! 's known pigmented color give nice , natural flush cheek . people also say blend smoothly , great 're going subtle look .",influenster,Positive,1
BLUSH,"pink power classic famous , makeup artist rose black pink always use pink power daily makeup . color subtle smooth , packing paper usual , finish look matte always love",influenster,Positive,1
BLUSH,light pink shade its pretty cute u think its meant fair skin tone rather deeper complexion . colour didnt show well,influenster,Positive,1
BLUSH,"got blush many year ago know expensive worth . personally still use . like give beautiful , blushing look .",influenster,Positive,1
BLUSH,"got blush many year ago know expensive worth . personally still use . like give beautiful , blushing look .",influenster,Positive,1
BLUSH,amazing blush ! shade winter shade perfect dry skin ! tends light always making face look much better . its definitely one on-the-go product ! !,influenster,Positive,1
BLUSH,"trying find cool toned blush fungal acne-safe , one well recommended . , `` winterkissed '' purple cool-pink . really disappointing looked chalky sad .",influenster,Positive,1
BLUSH,pigment first round wasnt best newer one give natural blush look love look great dewy foundation .,influenster,Positive,1
BLUSH,"beautiful blush ! nice pigmentation , cute pink packaging , high quality ! matte finish , could blend high intensity ! blurring texture , give skin youth fresh look !",influenster,Positive,1
BLUSH,"un blush super estetico , dalla formulazione top e colorazione perfetta per il mio incarnato . è un prodotto persistente , non svanisce immediatamente , ed è il giusto compromesso fra leffetto naturale e non .",influenster,Positive,1
BLUSH,den här blushen har så mycket pigment att man bara behöver ta blush en gång . älskar alla färgerna och sminket ser helt flawless ut efter . den smälter huden så fint .,influenster,Positive,1
BLUSH,"pigmentation amazing blend really good face , texture amazing finished product always great ! love packaging",influenster,Positive,1
BLUSH,"e un blush fascinantes tiene una pigmentación muy muy buena , textura suave en tu piel tiene un acabado muy muy rosita bebé encanta su empaque e muy original",influenster,Positive,1
BLUSH,product really good loved perfect touch finish look love pigmentation texture fabulous packaging cute good quality blendability good .,influenster,Positive,1
BLUSH,blush good . wished wouldve bought pinky shade . shade got baddie block. think fair price packaging cute !,influenster,Positive,1
